FlightNumber,Year,Month,DayofMonth,DayOfWeek,ScheduledDepTime,ScheduledArrTime,ScheduledTravelTime,Origin,Destination,Distance,WeatherStationID,GroundHeight,StationHeight,BarometerHeight,Latitude,Longitude,Origin_TimeZone,Destination_TimeZone,ScheduledDepDate,ScheduledDepTimeStamp,Diff_TimeZone,ScheduledArrivalTimestamp,ScheduledArrivalTimestamp1,YearMonthDay,Time,SkyConditions,Visibility,DBT,DewPointTemp,RelativeHumidityPercent,WindSpeed,WindDirection,WindGustValue,StationPressure,HourlyPrecip,Timestamp,dest_YearMonthDay,dest_Time,dest_SkyConditions,dest_Visibility,dest_DBT,dest_DewPointTemp,dest_RelativeHumidityPercent,dest_WindSpeed,dest_WindDirection,dest_WindGustValue,dest_StationPressure,dest_HourlyPrecip,dest_Timestamp
ATL_CAE_77041,2005,3,31,4,16:49,17:50,61,ATL,CAE,191,13874,971,1026,974,33.38,-84.26,+5,+5,31-3-2005,2005-03-31 16:49:00,0,2005-03-31 17:50:00,31-03-2005 17:50,31-03-2005,09:51,BKN007 BKN011 OVC018CB,2.5SM,60.0,59.0,96.0,7.0,070,0.0,29.01,0.19,2005-03-31 09:51:00,31-03-2005,09:51,BKN007 BKN011 OVC018CB,2.5SM,60.0,59.0,96.0,7.0,070,0.0,29.01,0.19,2005-03-31 09:51:00
ORD_GSO_68522,2005,11,5,6,15:45,18:40,115,ORD,GSO,590,94846,655,674,658,41.59,-87.55,+6,+5,5-11-2005,2005-11-05 15:45:00,60,2005-11-05 18:40:00,05-11-2005 18:40,05-11-2005,09:56,BKN050 OVC100,7SM,55.0,47.0,74.0,9.0,060,0.0,29.15,0.0,2005-11-05 09:56:00,05-11-2005,09:56,BKN050 OVC100,7SM,55.0,47.0,74.0,9.0,060,0.0,29.15,0.0,2005-11-05 09:56:00
DFW_ORD_83909,2005,9,15,4,18:00,20:19,139,DFW,ORD,802,3927,559,596,562,32.54,-97.02,+6,+6,15-9-2005,2005-09-15 18:00:00,0,2005-09-15 20:19:00,15-09-2005 20:19,15-09-2005,09:53,FEW030 SCT130 SCT300,10SM,88.0,71.0,57.0,16.0,230,0.0,29.37,0.0,2005-09-15 09:53:00,15-09-2005,09:53,FEW030 SCT130 SCT300,10SM,88.0,71.0,57.0,16.0,230,0.0,29.37,0.0,2005-09-15 09:53:00
AVL_EWR_78127,2005,9,2,5,13:15,15:08,113,AVL,EWR,583,3812,2171,2170,2174,35.26,-82.32,+5,+5,2-9-2005,2005-09-02 13:15:00,0,2005-09-02 15:08:00,02-09-2005 15:08,02-09-2005,09:54,CLR,10SM,74.0,60.0,62.0,7.0,340,0.0,27.91,0.0,2005-09-02 09:54:00,02-09-2005,09:54,CLR,10SM,74.0,60.0,62.0,7.0,340,0.0,27.91,0.0,2005-09-02 09:54:00
SBN_ATL_66705,2005,11,26,6,11:40,13:33,113,SBN,ATL,566,14848,777,773,780,41.43,-86.2,+6,+5,26-11-2005,2005-11-26 11:40:00,60,2005-11-26 14:33:00,26-11-2005 13:33,26-11-2005,09:54,CLR,10SM,31.0,13.0,47.0,6.0,150,0.0,29.19,0.0,2005-11-26 09:54:00,26-11-2005,09:54,CLR,10SM,31.0,13.0,47.0,6.0,150,0.0,29.19,0.0,2005-11-26 09:54:00
IAH_OAK_96437,2005,11,26,6,09:00,11:09,249,IAH,OAK,1628,12960,118,108,121,29.59,-95.22,+6,+8,26-11-2005,2005-11-26 09:00:00,-120,2005-11-26 11:09:00,26-11-2005 11:09,26-11-2005,08:59,BKN007 BKN025 OVC035,2SM,,,,3.0,VRB,0.0,,,2005-11-26 08:59:00,26-11-2005,09:53,BKN003 OVC013,0.25SM,65.0,63.0,93.0,6.0,320,0.0,29.8,0.36,2005-11-26 09:53:00
OAK_IAH_63424,2005,3,14,1,06:30,12:15,225,OAK,IAH,1628,23230,85,88,88,37.43,-122.13,+8,+6,14-3-2005,2005-03-14 06:30:00,120,2005-03-14 12:15:00,14-03-2005 12:15,14-03-2005,05:53,CLR,10SM,50.0,44.0,80.0,0.0,000,0.0,29.93,0.0,2005-03-14 05:53:00,14-03-2005,09:53,CLR,10SM,66.0,26.0,22.0,25.0,030,30.0,29.94,0.0,2005-03-14 09:53:00
MSP_EWR_96075,2005,9,20,2,16:54,20:36,162,MSP,EWR,1008,14922,871,838,874,44.53,-93.14,+6,+5,20-9-2005,2005-09-20 16:54:00,60,2005-09-20 20:36:00,20-09-2005 20:36,20-09-2005,09:53,CLR,10SM,73.0,54.0,51.0,8.0,230,0.0,29.16,0.0,2005-09-20 09:53:00,20-09-2005,09:53,CLR,10SM,73.0,54.0,51.0,8.0,230,0.0,29.16,0.0,2005-09-20 09:53:00
LGA_CLT_75041,2005,11,6,7,11:30,13:25,115,LGA,CLT,544,14732,36,31,39,40.47,-73.53,+5,+5,6-11-2005,2005-11-06 11:30:00,0,2005-11-06 13:25:00,06-11-2005 13:25,06-11-2005,09:51,OVC001,0.5SM,55.0,54.0,96.0,5.0,120,0.0,30.01,0.0,2005-11-06 09:51:00,06-11-2005,09:51,OVC001,0.5SM,55.0,54.0,96.0,5.0,120,0.0,30.01,0.0,2005-11-06 09:51:00
PHL_MHT_82727,2005,9,7,3,08:55,10:20,85,PHL,MHT,290,13739,59,28,62,39.52,-75.14,+5,+5,7-9-2005,2005-09-07 08:55:00,0,2005-09-07 10:20:00,07-09-2005 10:20,07-09-2005,08:54,CLR,10SM,72.0,55.0,55.0,7,070,0.0,30.34,0.0,2005-09-07 08:54:00,07-09-2005,09:54,FEW045,10SM,74.0,54.0,50.0,7,110,0.0,30.33,0.0,2005-09-07 09:54:00
MSY_ATL_61608,2005,11,10,4,13:12,15:40,88,MSY,ATL,425,12916,4,20,7,29.59,-90.15,+6,+5,10-11-2005,2005-11-10 13:12:00,60,2005-11-10 15:40:00,10-11-2005 15:40,10-11-2005,09:53,SCT011 BKN055 BKN070,7SM,72.0,66.0,82.0,9,320,0.0,30.18,0.0,2005-11-10 09:53:00,10-11-2005,09:53,SCT011 BKN055 BKN070,7SM,72.0,66.0,82.0,9,320,0.0,30.18,0.0,2005-11-10 09:53:00
CMH_LAS_93337,2005,11,8,2,13:00,14:35,275,CMH,LAS,1772,14821,846,816,849,39.59,-82.53,+5,+8,8-11-2005,2005-11-08 13:00:00,-180,2005-11-08 14:35:00,08-11-2005 14:35,08-11-2005,09:51,FEW040 SCT100 BKN250,10SM,59.0,52.0,78.0,7.0,200,0.0,29.2,0.0,2005-11-08 09:51:00,08-11-2005,09:51,FEW040 SCT100 BKN250,10SM,59.0,52.0,78.0,7.0,200,0.0,29.2,0.0,2005-11-08 09:51:00
ATL_LYH_100620,2005,9,10,6,09:24,10:47,83,ATL,LYH,389,13874,971,1026,974,33.38,-84.26,+5,+5,10-9-2005,2005-09-10 09:24:00,0,2005-09-10 10:47:00,10-09-2005 10:47,10-09-2005,08:51,CLR,10SM,74.0,55.0,52.0,12.0,070,0.0,29.13,0.0,2005-09-10 08:51:00,10-09-2005,09:51,CLR,10SM,77.0,56.0,48.0,13.0,050,0.0,29.14,0.0,2005-09-10 09:51:00
SLC_SNA_65448,2005,7,29,5,15:10,16:01,111,SLC,SNA,588,24127,4221,4227,4224,40.47,-111.58,+7,+8,29-7-2005,2005-07-29 15:10:00,-60,2005-07-29 16:01:00,29-07-2005 16:01,29-07-2005,09:56,FEW110 SCT180 BKN250,10SM,88.0,41.0,19.0,8,150,0.0,25.8,0.0,2005-07-29 09:56:00,29-07-2005,09:56,FEW110 SCT180 BKN250,10SM,88.0,41.0,19.0,8,150,0.0,25.8,0.0,2005-07-29 09:56:00
OAK_LGB_71775,2005,3,31,4,13:40,15:00,80,OAK,LGB,353,23230,85,88,88,37.43,-122.13,+8,+8,31-3-2005,2005-03-31 13:40:00,0,2005-03-31 15:00:00,31-03-2005 15:00,31-03-2005,09:53,CLR,10SM,60.0,44.0,56.0,7.0,220,0.0,30.23,0.0,2005-03-31 09:53:00,31-03-2005,09:53,CLR,10SM,60.0,44.0,56.0,7.0,220,0.0,30.23,0.0,2005-03-31 09:53:00
CLE_MDW_65562,2005,9,22,4,10:35,10:45,70,CLE,MDW,307,14820,802,805,805,41.24,-81.51,+5,+6,22-9-2005,2005-09-22 10:35:00,-60,2005-09-22 10:45:00,22-09-2005 10:45,22-09-2005,09:51,SCT048 BKN250,10SM,73.0,61.0,66.0,8.0,220,0.0,29.18,0.0,2005-09-22 09:51:00,22-09-2005,09:51,SCT048 BKN250,10SM,73.0,61.0,66.0,8.0,220,0.0,29.18,0.0,2005-09-22 09:51:00
ORD_EWR_58616,2005,7,16,6,07:58,11:00,122,ORD,EWR,719,94846,655,674,658,41.59,-87.55,+6,+5,16-7-2005,2005-07-16 07:58:00,60,2005-07-16 11:00:00,16-07-2005 11:00,16-07-2005,07:56,SCT047 BKN250,10SM,79.0,62.0,56.0,3.0,VRB,0.0,29.3,0.0,2005-07-16 07:56:00,16-07-2005,09:56,SCT050 BKN100 BKN250,10SM,84.0,63.0,49.0,6.0,VRB,0.0,29.3,0.0,2005-07-16 09:56:00
ATL_HPN_78608,2005,3,31,4,08:07,10:28,141,ATL,HPN,780,13874,971,1026,974,33.38,-84.26,+5,+5,31-3-2005,2005-03-31 08:07:00,0,2005-03-31 10:28:00,31-03-2005 10:28,31-03-2005,08:06,SCT008 BKN015 OVC035CB,1SM,,,,13.0,350,0.0,,,2005-03-31 08:06:00,31-03-2005,09:51,BKN007 BKN011 OVC018CB,2.5SM,60.0,59.0,96.0,7.0,070,0.0,29.01,0.19,2005-03-31 09:51:00
EWR_DAB_105128,2005,11,12,6,08:55,11:50,175,EWR,DAB,884,14734,25,30,28,40.43,-74.1,+5,+5,12-11-2005,2005-11-12 08:55:00,0,2005-11-12 11:50:00,12-11-2005 11:50,12-11-2005,08:51,CLR,10SM,42.0,30.0,62.0,5.0,230,0.0,30.27,0.0,2005-11-12 08:51:00,12-11-2005,09:51,CLR,10SM,48.0,29.0,48.0,6.0,250,0.0,30.28,0.0,2005-11-12 09:51:00
BWI_ORD_68892,2005,3,11,5,14:42,15:57,135,BWI,ORD,622,93721,193,155,196,39.1,-76.41,+5,+6,11-3-2005,2005-03-11 14:42:00,-60,2005-03-11 15:57:00,11-03-2005 15:57,11-03-2005,09:54,SCT075 SCT090 SCT200,10SM,44.0,25.0,47.0,7.0,240,0.0,29.34,0.0,2005-03-11 09:54:00,11-03-2005,09:54,SCT075 SCT090 SCT200,10SM,44.0,25.0,47.0,7.0,240,0.0,29.34,0.0,2005-03-11 09:54:00
IAH_BHM_87669,2005,7,31,7,10:50,12:38,108,IAH,BHM,562,12960,118,108,121,29.59,-95.22,+6,+6,31-7-2005,2005-07-31 10:50:00,0,2005-07-31 12:38:00,31-07-2005 12:38,31-07-2005,09:53,CLR,10SM,86.0,70.0,59.0,5.0,VRB,0.0,29.93,0.0,2005-07-31 09:53:00,31-07-2005,09:53,CLR,10SM,86.0,70.0,59.0,5.0,VRB,0.0,29.93,0.0,2005-07-31 09:53:00
MDW_LAS_67183,2005,9,18,7,12:45,14:35,230,MDW,LAS,1521,14819,616,618,619,41.47,-87.45,+6,+8,18-9-2005,2005-09-18 12:45:00,-120,2005-09-18 14:35:00,18-09-2005 14:35,18-09-2005,09:53,SCT100 SCT250,10SM,73.0,57.0,57.0,7.0,230,0.0,29.42,0.0,2005-09-18 09:53:00,18-09-2005,09:53,SCT100 SCT250,10SM,73.0,57.0,57.0,7.0,230,0.0,29.42,0.0,2005-09-18 09:53:00
ROC_ATL_57993,2005,3,27,7,17:41,20:10,149,ROC,ATL,749,14768,585,555,588,43.07,-77.41,+5,+5,27-3-2005,2005-03-27 17:41:00,0,2005-03-27 20:10:00,27-03-2005 20:10,27-03-2005,09:54,FEW060 BKN200,10SM,42.0,32.0,68.0,4.0,090,0.0,29.48,0.0,2005-03-27 09:54:00,27-03-2005,09:54,FEW060 BKN200,10SM,42.0,32.0,68.0,4.0,090,0.0,29.48,0.0,2005-03-27 09:54:00
PBI_CLT_88853,2005,3,7,1,16:40,18:30,110,PBI,CLT,590,12844,16,21,19,26.41,-80.06,+5,+5,7-3-2005,2005-03-07 16:40:00,0,2005-03-07 18:30:00,07-03-2005 18:30,07-03-2005,09:53,FEW120 SCT140 SCT250,10SM,72.0,51.0,48.0,5,VRB,0.0,30.1,0.0,2005-03-07 09:53:00,07-03-2005,09:53,FEW120 SCT140 SCT250,10SM,72.0,51.0,48.0,5,VRB,0.0,30.1,0.0,2005-03-07 09:53:00
ORD_PHX_57520,2005,3,25,5,10:23,13:12,229,ORD,PHX,1440,94846,655,674,658,41.59,-87.55,+6,+7,25-3-2005,2005-03-25 10:23:00,-60,2005-03-25 13:12:00,25-03-2005 13:12,25-03-2005,09:56,BKN008 OVC012,1.5SM,34.0,31.0,89.0,12.0,070,0.0,29.37,0.01,2005-03-25 09:56:00,25-03-2005,09:56,BKN008 OVC012,1.5SM,34.0,31.0,89.0,12.0,070,0.0,29.37,0.01,2005-03-25 09:56:00
MDW_DTW_67410,2005,7,15,5,13:40,16:03,83,MDW,DTW,229,14819,616,618,619,41.47,-87.45,+6,+5,15-7-2005,2005-07-15 13:40:00,60,2005-07-15 16:03:00,15-07-2005 16:03,15-07-2005,09:53,BKN110 BKN250,9SM,79.0,68.0,69.0,8.0,020,0.0,29.34,,2005-07-15 09:53:00,15-07-2005,09:53,BKN110 BKN250,9SM,79.0,68.0,69.0,8.0,020,0.0,29.34,,2005-07-15 09:53:00
ATL_MCI_89362,2005,9,26,1,15:09,16:11,122,ATL,MCI,692,13874,971,1026,974,33.38,-84.26,+5,+6,26-9-2005,2005-09-26 15:09:00,-60,2005-09-26 16:11:00,26-09-2005 16:11,26-09-2005,09:51,BKN012 BKN015 OVC025,4SM,71.0,68.0,90.0,8.0,170,0.0,28.96,0.02,2005-09-26 09:51:00,26-09-2005,09:51,BKN012 BKN015 OVC025,4SM,71.0,68.0,90.0,8.0,170,0.0,28.96,0.02,2005-09-26 09:51:00
DFW_ATL_57381,2005,9,14,3,10:50,13:51,121,DFW,ATL,732,3927,559,596,562,32.54,-97.02,+6,+5,14-9-2005,2005-09-14 10:50:00,60,2005-09-14 13:51:00,14-09-2005 13:51,14-09-2005,09:53,FEW025 SCT300,10SM,87.0,71.0,59.0,10.0,200,0.0,29.35,0.0,2005-09-14 09:53:00,14-09-2005,09:53,FEW025 SCT300,10SM,87.0,71.0,59.0,10.0,200,0.0,29.35,0.0,2005-09-14 09:53:00
JFK_BWI_96349,2005,11,30,3,11:30,12:50,80,JFK,BWI,184,94789,29,22,32,40.4,-73.48,+5,+5,30-11-2005,2005-11-30 11:30:00,0,2005-11-30 12:50:00,30-11-2005 12:50,30-11-2005,09:51,SCT050 BKN100 BKN250,10SM,58.0,52.0,81.0,5.0,310,0.0,29.86,0.0,2005-11-30 09:51:00,30-11-2005,09:51,SCT050 BKN100 BKN250,10SM,58.0,52.0,81.0,5.0,310,0.0,29.86,0.0,2005-11-30 09:51:00
DTW_LGA_79517,2005,7,16,6,17:01,18:47,106,DTW,LGA,501,94847,628,664,631,42.13,-83.21,+5,+5,16-7-2005,2005-07-16 17:01:00,0,2005-07-16 18:47:00,16-07-2005 18:47,16-07-2005,09:54,FEW003 OVC050,1.5SM,78.0,75.0,90.0,3.0,VRB,0.0,29.32,0.04,2005-07-16 09:54:00,16-07-2005,09:54,FEW003 OVC050,1.5SM,78.0,75.0,90.0,3.0,VRB,0.0,29.32,0.04,2005-07-16 09:54:00
LIT_LAS_69844,2005,11,13,7,13:30,15:00,210,LIT,LAS,1295,13963,289,257,292,34.45,-92.14,+6,+8,13-11-2005,2005-11-13 13:30:00,-120,2005-11-13 15:00:00,13-11-2005 15:00,13-11-2005,09:53,OVC007,5SM,66.0,62.0,87.0,4.0,VRB,0.0,29.83,0.04,2005-11-13 09:53:00,13-11-2005,09:53,OVC007,5SM,66.0,62.0,87.0,4.0,VRB,0.0,29.83,0.04,2005-11-13 09:53:00
LAS_LAX_74662,2005,7,30,6,07:55,08:57,62,LAS,LAX,236,23169,2127,2180,2091,36.05,-115.1,+8,+8,30-7-2005,2005-07-30 07:55:00,0,2005-07-30 08:57:00,30-07-2005 08:57,30-07-2005,06:56,CLR,10SM,85.0,59.0,42.0,3,350,0.0,27.85,0.0,2005-07-30 06:56:00,30-07-2005,08:56,CLR,10SM,89.0,57.0,34.0,7.0,090,0.0,27.85,0.0,2005-07-30 08:56:00
PNS_CVG_83630,2005,7,2,6,11:55,14:49,114,PNS,CVG,608,13899,124,118,127,30.28,-87.11,+6,+5,2-7-2005,2005-07-02 11:55:00,60,2005-07-02 14:49:00,02-07-2005 14:49,02-07-2005,09:53,CLR,10SM,88.0,75.0,66.0,7.0,270,0.0,29.77,0.0,2005-07-02 09:53:00,02-07-2005,09:53,CLR,10SM,88.0,75.0,66.0,7.0,270,0.0,29.77,0.0,2005-07-02 09:53:00
ORD_DFW_71497,2005,7,3,7,14:55,17:22,147,ORD,DFW,802,94846,655,674,658,41.59,-87.55,+6,+6,3-7-2005,2005-07-03 14:55:00,0,2005-07-03 17:22:00,03-07-2005 17:22,03-07-2005,09:56,FEW100 BKN250,10SM,78.0,56.0,47.0,7.0,190,0.0,29.25,0.0,2005-07-03 09:56:00,03-07-2005,09:56,FEW100 BKN250,10SM,78.0,56.0,47.0,7.0,190,0.0,29.25,0.0,2005-07-03 09:56:00
PIA_DFW_96054,2005,7,31,7,06:20,08:24,124,PIA,DFW,673,14842,713,662,716,40.4,-89.41,+6,+6,31-7-2005,2005-07-31 06:20:00,0,2005-07-31 08:24:00,31-07-2005 08:24,31-07-2005,05:54,CLR,10SM,71.0,63.0,76.0,6.0,220,0.0,29.43,0.0,2005-07-31 05:54:00,31-07-2005,07:54,CLR,10SM,73.0,65.0,76.0,4.0,210,0.0,29.46,0.0,2005-07-31 07:54:00
JAN_IAH_71435,2005,3,13,7,06:50,08:14,84,JAN,IAH,351,3940,293,331,296,32.19,-90.05,+6,+6,13-3-2005,2005-03-13 06:50:00,0,2005-03-13 08:14:00,13-03-2005 08:14,13-03-2005,05:54,CLR,9SM,55.0,53.0,93.0,5.0,200,0.0,29.47,0.0,2005-03-13 05:54:00,13-03-2005,07:54,FEW009,10SM,60.0,56.0,86.0,5.0,190,0.0,29.48,0.0,2005-03-13 07:54:00
BOS_LGA_87536,2005,9,13,2,18:00,19:07,67,BOS,LGA,185,14739,19,30,180,42.22,-71.01,+5,+5,13-9-2005,2005-09-13 18:00:00,0,2005-09-13 19:07:00,13-09-2005 19:07,13-09-2005,09:54,FEW250,10SM,72.0,60.0,66.0,10.0,080,0.0,30.04,0.0,2005-09-13 09:54:00,13-09-2005,09:54,FEW250,10SM,72.0,60.0,66.0,10.0,080,0.0,30.04,0.0,2005-09-13 09:54:00
IAH_PHX_91596,2005,9,22,4,11:45,12:29,164,IAH,PHX,1009,12960,118,108,121,29.59,-95.22,+6,+7,22-9-2005,2005-09-22 11:45:00,-60,2005-09-22 13:29:00,22-09-2005 12:29,22-09-2005,09:53,FEW250,8SM,91.0,68.0,47.0,5.0,060,0.0,29.77,0.0,2005-09-22 09:53:00,22-09-2005,09:53,FEW250,8SM,91.0,68.0,47.0,5.0,060,0.0,29.77,0.0,2005-09-22 09:53:00
DFW_STL_103062,2005,3,28,1,15:20,16:59,99,DFW,STL,551,3927,559,596,562,32.54,-97.02,+6,+6,28-3-2005,2005-03-28 15:20:00,0,2005-03-28 16:59:00,28-03-2005 16:59,28-03-2005,09:53,SCT300,10SM,63.0,42.0,47.0,12.0,200,0.0,29.35,0.0,2005-03-28 09:53:00,28-03-2005,09:53,SCT300,10SM,63.0,42.0,47.0,12.0,200,0.0,29.35,0.0,2005-03-28 09:53:00
DCA_CVG_92165,2005,11,2,3,11:33,13:05,92,DCA,CVG,411,13743,10,65,3,38.52,-77.02,+5,+5,2-11-2005,2005-11-02 11:33:00,0,2005-11-02 13:05:00,02-11-2005 13:05,02-11-2005,09:51,FEW030,10SM,56.0,38.0,51.0,13.0,340,17.0,30.13,0.0,2005-11-02 09:51:00,02-11-2005,09:51,FEW030,10SM,56.0,38.0,51.0,13.0,340,17.0,30.13,0.0,2005-11-02 09:51:00
LGA_JAX_101150,2005,9,10,6,11:00,13:32,152,LGA,JAX,834,14732,36,31,39,40.47,-73.53,+5,+5,10-9-2005,2005-09-10 11:00:00,0,2005-09-10 13:32:00,10-09-2005 13:32,10-09-2005,09:51,FEW070 SCT100,10SM,74.0,52.0,46.0,4.0,040,0.0,30.19,0.0,2005-09-10 09:51:00,10-09-2005,09:51,FEW070 SCT100,10SM,74.0,52.0,46.0,4.0,040,0.0,30.19,0.0,2005-09-10 09:51:00
PHL_JAX_62778,2005,7,21,4,11:55,14:05,130,PHL,JAX,742,13739,59,28,62,39.52,-75.14,+5,+5,21-7-2005,2005-07-21 11:55:00,0,2005-07-21 14:05:00,21-07-2005 14:05,21-07-2005,09:54,FEW250,10SM,85.0,65.0,51.0,6.0,210,0.0,29.98,0.0,2005-07-21 09:54:00,21-07-2005,09:54,FEW250,10SM,85.0,65.0,51.0,6.0,210,0.0,29.98,0.0,2005-07-21 09:54:00
LEX_EWR_103037,2005,7,14,4,14:15,16:14,119,LEX,EWR,588,93820,977,980,980,38.02,-84.37,+5,+5,14-7-2005,2005-07-14 14:15:00,0,2005-07-14 16:14:00,14-07-2005 16:14,14-07-2005,09:54,SCT005 BKN017 OVC022,4SM,72.0,70.0,94.0,5.0,170,0.0,28.85,0.01,2005-07-14 09:54:00,14-07-2005,09:54,SCT005 BKN017 OVC022,4SM,72.0,70.0,94.0,5.0,170,0.0,28.85,0.01,2005-07-14 09:54:00
DEN_DTW_83133,2005,7,22,5,16:55,21:44,169,DEN,DTW,1123,3017,5379,5431,5382,39.5,-104.4,+7,+5,22-7-2005,2005-07-22 16:55:00,120,2005-07-22 21:44:00,22-07-2005 21:44,22-07-2005,09:53,FEW080,10SM,88.0,49.0,26.0,5.0,290,0.0,24.82,0.0,2005-07-22 09:53:00,22-07-2005,09:53,FEW080,10SM,88.0,49.0,26.0,5.0,290,0.0,24.82,0.0,2005-07-22 09:53:00
CMH_IAH_105601,2005,7,25,1,18:00,19:40,160,CMH,IAH,986,14821,846,816,849,39.59,-82.53,+5,+6,25-7-2005,2005-07-25 18:00:00,-60,2005-07-25 19:40:00,25-07-2005 19:40,25-07-2005,09:51,FEW024,5SM,88.0,76.0,68.0,6.0,VRB,0.0,29.07,0.0,2005-07-25 09:51:00,25-07-2005,09:51,FEW024,5SM,88.0,76.0,68.0,6.0,VRB,0.0,29.07,0.0,2005-07-25 09:51:00
HKY_ATL_71388,2005,9,15,4,11:20,12:25,65,HKY,ATL,225,3810,1161,1188,1164,35.44,-81.23,+5,+5,15-9-2005,2005-09-15 11:20:00,0,2005-09-15 12:25:00,15-09-2005 12:25,15-09-2005,09:53,CLR,8SM,81.0,63.0,54.0,5.0,290,0.0,28.83,0.0,2005-09-15 09:53:00,15-09-2005,09:53,CLR,8SM,81.0,63.0,54.0,5.0,290,0.0,28.83,0.0,2005-09-15 09:53:00
IAH_LIT_66008,2005,7,17,7,15:40,17:10,90,IAH,LIT,374,12960,118,108,121,29.59,-95.22,+6,+6,17-7-2005,2005-07-17 15:40:00,0,2005-07-17 17:10:00,17-07-2005 17:10,17-07-2005,09:53,SCT024TCU SCT130 BKN250,10SM,86.0,76.0,72.0,8.0,180,0.0,29.91,0.0,2005-07-17 09:53:00,17-07-2005,09:53,SCT024TCU SCT130 BKN250,10SM,86.0,76.0,72.0,8.0,180,0.0,29.91,0.0,2005-07-17 09:53:00
IAH_LAX_95466,2005,9,22,4,09:29,11:04,215,IAH,LAX,1379,12960,118,108,121,29.59,-95.22,+6,+8,22-9-2005,2005-09-22 09:29:00,-120,2005-09-22 11:04:00,22-09-2005 11:04,22-09-2005,08:53,CLR,7SM,87.0,72.0,61.0,3.0,VRB,0.0,29.78,0.0,2005-09-22 08:53:00,22-09-2005,09:53,FEW250,8SM,91.0,68.0,47.0,5.0,060,0.0,29.77,0.0,2005-09-22 09:53:00
ATL_ILM_83886,2005,7,16,6,08:38,09:59,81,ATL,ILM,377,13874,971,1026,974,33.38,-84.26,+5,+5,16-7-2005,2005-07-16 08:38:00,0,2005-07-16 09:59:00,16-07-2005 09:59,16-07-2005,08:18,BKN004 OVC009,8SM,,,,0.0,000,0.0,,,2005-07-16 08:18:00,16-07-2005,09:51,BKN008 OVC014,10SM,76.0,72.0,88.0,0.0,000,0.0,29.14,0.0,2005-07-16 09:51:00
FCA_SLC_81679,2005,7,14,4,14:10,15:42,92,FCA,SLC,532,24146,2978,2973,2981,48.18,-114.16,+7,+7,14-7-2005,2005-07-14 14:10:00,0,2005-07-14 15:42:00,14-07-2005 15:42,14-07-2005,09:55,CLR,10SM,69.0,48.0,47.0,5.0,VRB,0.0,27.09,0.0,2005-07-14 09:55:00,14-07-2005,09:55,CLR,10SM,69.0,48.0,47.0,5.0,VRB,0.0,27.09,0.0,2005-07-14 09:55:00
MSP_PHL_68986,2005,7,29,5,13:07,16:42,155,MSP,PHL,980,14922,871,838,874,44.53,-93.14,+6,+5,29-7-2005,2005-07-29 13:07:00,60,2005-07-29 16:42:00,29-07-2005 16:42,29-07-2005,09:53,SCT140 SCT200 BKN250,10SM,72.0,50.0,46.0,7,110,0.0,29.27,0.0,2005-07-29 09:53:00,29-07-2005,09:53,SCT140 SCT200 BKN250,10SM,72.0,50.0,46.0,7,110,0.0,29.27,0.0,2005-07-29 09:53:00
MIA_CLE_80731,2005,3,17,4,16:05,19:00,175,MIA,CLE,1080,12839,26,30,29,25.49,-80.18,+5,+5,17-3-2005,2005-03-17 16:05:00,0,2005-03-17 19:00:00,17-03-2005 19:00,17-03-2005,09:59,SCT021 BKN036 BKN180,10SM,,,,18.0,180,22.0,,,2005-03-17 09:59:00,17-03-2005,09:59,SCT021 BKN036 BKN180,10SM,,,,18.0,180,22.0,,,2005-03-17 09:59:00
HOU_LAS_93145,2005,7,23,6,07:25,08:30,185,HOU,LAS,1235,12918,45,47,48,29.39,-95.17,+6,+8,23-7-2005,2005-07-23 07:25:00,-120,2005-07-23 08:30:00,23-07-2005 08:30,23-07-2005,06:53,SCT250,8SM,75.0,74.0,96.0,4.0,040,0.0,30.04,0.0,2005-07-23 06:53:00,23-07-2005,07:53,FEW020 SCT140 SCT250,10SM,80.0,76.0,87.0,3.0,050,0.0,30.05,0.0,2005-07-23 07:53:00
MDW_CMH_102405,2005,9,30,5,07:00,09:05,65,MDW,CMH,284,14819,616,618,619,41.47,-87.45,+6,+5,30-9-2005,2005-09-30 07:00:00,60,2005-09-30 09:05:00,30-09-2005 09:05,30-09-2005,06:53,FEW250,10SM,47.0,34.0,61.0,6.0,190,0.0,29.44,0.0,2005-09-30 06:53:00,30-09-2005,08:53,FEW250,10SM,58.0,38.0,48.0,9.0,230,0.0,29.43,0.0,2005-09-30 08:53:00
DTW_ATL_95842,2005,11,3,4,17:23,19:25,122,DTW,ATL,594,94847,628,664,631,42.13,-83.21,+5,+5,3-11-2005,2005-11-03 17:23:00,0,2005-11-03 19:25:00,03-11-2005 19:25,03-11-2005,09:54,BKN200,10SM,59.0,41.0,51.0,15.0,230,0.0,29.28,0.0,2005-11-03 09:54:00,03-11-2005,09:54,BKN200,10SM,59.0,41.0,51.0,15.0,230,0.0,29.28,0.0,2005-11-03 09:54:00
